module,metadata,type,stat,p,q,n_samples,n_groups,note
8,wind_speed_m_s,numeric,0.8742671711966791,0.004512385603651026,0.04512385603651026,8,,
2,rain_mmh2o,numeric,-0.8838515090524254,0.003583935157437071,0.03583935157437071,8,,
