Node,Community
Micromonospora sp. DPT,0
Nonomuraea sp. N2-4H,0
Microbacterium sp. SY138,0
Dactylosporangium vinaceum,1
Microbacterium esteraromaticum,1
Microbacterium hominis,1
Rhodococcus sp. ABRD24,2
Bifidobacterium pseudocatenulatum,2
Rhodococcus sp. DMU1,2
Nocardia vinacea,3
Dermatobacter hominis,3
Rhodococcus sp. JS3073,3
Metabacillus rhizosphaerae,4
Jatrophihabitans cynanchi,4
Micromonospora sp. WMMA1947,4
Modestobacter italicus,4
Sutcliffiella sp. FSL R7-0096,4
Metabacillus sediminis,4
