module,metadata,type,stat,p,q,n_samples,n_groups,note
4,na,numeric,-0.42141779149700753,0.29840847792382547,0.4973474632063758,8,,
0,mg,numeric,-0.3064856665432782,0.46031184745811227,0.5753898093226403,8,,
1,mg,numeric,-0.42141779149700753,0.29840847792382547,0.4973474632063758,8,,
2,mg,numeric,0.47249873592088715,0.23709303350330987,0.4973474632063758,8,,
3,mg,numeric,0.20432377769551877,0.6274220613656569,0.6274220613656569,8,,
4,mg,numeric,-0.42141779149700753,0.29840847792382547,0.4973474632063758,8,,
0,al,numeric,0.43915503282683993,0.2763268401337456,0.34540855016718197,8,,
1,al,numeric,0.09759000729485333,0.818177202735276,0.818177202735276,8,,
2,al,numeric,0.6343350474165467,0.0911626639202738,0.2279066598006845,8,,
3,al,numeric,0.6831300510639733,0.06183472987214336,0.2279066598006845,8,,
4,al,numeric,0.46355253465055324,0.2473232628072859,0.34540855016718197,8,,
0,si,numeric,0.43915503282683993,0.2763268401337456,0.34540855016718197,8,,
1,si,numeric,0.09759000729485333,0.818177202735276,0.818177202735276,8,,
2,si,numeric,0.6343350474165467,0.0911626639202738,0.2279066598006845,8,,
3,si,numeric,0.6831300510639733,0.06183472987214336,0.2279066598006845,8,,
4,si,numeric,0.46355253465055324,0.2473232628072859,0.34540855016718197,8,,
0,k,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
1,k,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
2,k,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
3,k,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
4,k,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
0,ca,numeric,0.16766767666785626,0.691465351646736,0.8643316895584199,8,,
1,ca,numeric,-0.4431217169079058,0.2715023869225746,0.45250397820429106,8,,
2,ca,numeric,0.8024095954818835,0.016540722800677185,0.08270361400338593,8,,
3,ca,numeric,0.6826469692905576,0.06209269238231715,0.15523173095579287,8,,
4,ca,numeric,-0.03592878785739777,0.932691474909088,0.932691474909088,8,,
0,ti,numeric,0.3044077736591046,0.4635148227616074,0.5793935284520092,8,,
1,ti,numeric,0.05073462894318411,0.9050356835102413,0.9050356835102413,8,,
2,ti,numeric,0.6341828617898013,0.09126460848140389,0.2970806490694796,8,,
3,ti,numeric,0.5961318900824132,0.11883225962779186,0.2970806490694796,8,,
4,ti,numeric,0.4185606887812689,0.30204234405050473,0.5034039067508412,8,,
0,v,numeric,0.43915503282683993,0.2763268401337456,0.34540855016718197,8,,
1,v,numeric,0.09759000729485333,0.818177202735276,0.818177202735276,8,,
2,v,numeric,0.6343350474165467,0.0911626639202738,0.2279066598006845,8,,
3,v,numeric,0.6831300510639733,0.06183472987214336,0.2279066598006845,8,,
4,v,numeric,0.46355253465055324,0.2473232628072859,0.34540855016718197,8,,
0,cr,numeric,0.520029946667637,0.18647246052255326,0.3107874342042554,8,,
1,cr,numeric,-0.10146925788636822,0.8110470184171032,0.8110470184171032,8,,
2,cr,numeric,0.7356521196761695,0.03750954117949253,0.09377385294873132,8,,
3,cr,numeric,0.938590635448906,0.0005526162917581612,0.002763081458790806,8,,
4,cr,numeric,0.4566116604886569,0.2554109324387585,0.3192636655484481,8,,
0,mn,numeric,0.3424587453664927,0.4063271120918799,0.5079088901148499,8,,
1,mn,numeric,-0.10146925788636822,0.8110470184171032,0.8110470184171032,8,,
2,mn,numeric,0.7863867486193535,0.020631016245937942,0.051577540614844854,8,,
3,mn,numeric,0.8878560065057219,0.0032359806436668887,0.016179903218334443,8,,
4,mn,numeric,0.35514240260228874,0.3879803391239292,0.5079088901148499,8,,
0,fe,numeric,0.2439750182371333,0.560375584963329,0.7004694812041612,8,,
1,fe,numeric,0.12198750911856665,0.7735324033272464,0.7735324033272464,8,,
2,fe,numeric,0.6099375455928333,0.1083500627686081,0.3181164746593017,8,,
3,fe,numeric,0.5855400437691199,0.1272465898637207,0.3181164746593017,8,,
4,fe,numeric,0.29277002188455997,0.48161781431215467,0.7004694812041612,8,,
0,co,numeric,0.51234753829798,0.1942234213599954,0.27492977405227337,8,,
1,co,numeric,0.048795003647426664,0.9086544876553411,0.9086544876553411,8,,
2,co,numeric,0.6831300510639733,0.06183472987214336,0.1545868246803584,8,,
3,co,numeric,0.80511756018254,0.015904562291661397,0.07952281145830697,8,,
4,co,numeric,0.4879500364742666,0.2199438192418187,0.27492977405227337,8,,
0,ni,numeric,0.7325886315065459,0.03873063222381196,0.1936531611190598,8,,
1,ni,numeric,0.015586992159713743,0.9707791230144585,0.9707791230144585,8,,
2,ni,numeric,0.20263089807627865,0.6303388117070506,0.7879235146338133,8,,
3,ni,numeric,0.5923057020691221,0.12183451362769832,0.30458628406924576,8,,
4,ni,numeric,0.4520227726316985,0.26082977570213617,0.4347162928368936,8,,
0,cu,numeric,0.627376434428478,0.09589144448932298,0.4794572224466149,8,,
1,cu,numeric,0.2454951265154914,0.5578565851821256,0.7545563206376704,8,,
2,cu,numeric,0.027277236279499045,0.9488805457664998,0.9488805457664998,8,,
3,cu,numeric,0.21821789023599236,0.6036450565101363,0.7545563206376704,8,,
4,cu,numeric,0.4637130167514838,0.24713781718399952,0.6178445429599988,8,,
0,zn,numeric,0.29615285103456107,0.47632727009702336,0.7938787834950389,8,,
1,zn,numeric,0.34291382751370236,0.405662473506009,0.7938787834950389,8,,
2,zn,numeric,-0.34291382751370236,0.405662473506009,0.7938787834950389,8,,
3,zn,numeric,-0.17145691375685118,0.6847632211213339,0.8559540264016674,8,,
4,zn,numeric,0.015586992159713743,0.9707791230144585,0.9707791230144585,8,,
0,as,numeric,0.16366341767699427,0.6985668596641241,0.7474293952265143,8,,
1,as,numeric,-0.13638618139749523,0.7474293952265143,0.7474293952265143,8,,
2,as,numeric,0.7910398521054723,0.019384840544571194,0.06849010977278011,8,,
3,as,numeric,0.7637626158259734,0.027396043909112048,0.06849010977278011,8,,
4,as,numeric,0.3000495990744895,0.47026174065563475,0.7474293952265143,8,,
0,se,numeric,0.13638618139749523,0.7474293952265143,0.8472491451028784,8,,
1,se,numeric,0.08183170883849714,0.8472491451028784,0.8472491451028784,8,,
2,se,numeric,0.40915854419248576,0.31414942752218256,0.7853735688054564,8,,
3,se,numeric,0.4637130167514838,0.24713781718399952,0.7853735688054564,8,,
4,se,numeric,0.08183170883849714,0.8472491451028784,0.8472491451028784,8,,
0,mo,numeric,0.627376434428478,0.09589144448932298,0.4794572224466149,8,,
1,mo,numeric,0.2454951265154914,0.5578565851821256,0.7545563206376704,8,,
2,mo,numeric,0.027277236279499045,0.9488805457664998,0.9488805457664998,8,,
3,mo,numeric,0.21821789023599236,0.6036450565101363,0.7545563206376704,8,,
4,mo,numeric,0.4637130167514838,0.24713781718399952,0.6178445429599988,8,,
0,ag,numeric,0.13638618139749523,0.7474293952265143,0.7474293952265143,8,,
1,ag,numeric,0.6546536707079771,0.07814074941121588,0.19535187352803968,8,,
2,ag,numeric,-0.6546536707079771,0.07814074941121588,0.19535187352803968,8,,
3,ag,numeric,-0.3546040716334876,0.3887514877079521,0.5878271758195434,8,,
4,ag,numeric,0.3000495990744895,0.47026174065563475,0.5878271758195434,8,,
0,cd,numeric,0.7637626158259734,0.027396043909112048,0.13698021954556022,8,,
1,cd,numeric,-0.015586992159713743,0.9707791230144585,0.9707791230144585,8,,
2,cd,numeric,0.29615285103456107,0.47632727009702336,0.5954090876212792,8,,
3,cd,numeric,0.6546536707079772,0.07814074941121575,0.19535187352803937,8,,
4,cd,numeric,0.545544725589981,0.16193822846628397,0.26989704744380666,8,,
0,sb,numeric,0.5773502691896257,0.13397459621556135,0.22329099369260225,8,,
1,sb,numeric,-0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
2,sb,numeric,0.41239304942116123,0.30995873550624103,0.3874484193828013,8,,
3,sb,numeric,0.5773502691896257,0.13397459621556135,0.22329099369260225,8,,
4,sb,numeric,0.5773502691896257,0.13397459621556135,0.22329099369260225,8,,
0,ba,numeric,0.46355253465055324,0.2473232628072859,0.751667763096194,8,,
