Community,AB948,AB1235,AB1286,AB947,AB1288,AB1097,AB1239,AB1290
0,-0.2065958664386199,-0.1356768719056539,-0.19939261402509315,-0.2012878617432845,-0.2791220914378038,-0.1474359880058964,-0.14069150757543003,-0.2483438026587521
1,0.0025594364811306982,-0.07354056122513668,-0.18750374871007955,-0.00398638657740887,-0.2872992999529916,-0.04884631860649572,-0.07025966471665986,-0.1800599319068592
2,-0.057503372892825,0.05465371258772933,-0.02850684261007223,-0.031146896037178944,0.032172762033551315,0.0029075029548758144,-0.0006113824564595305,0.12265944827819315
3,-0.2730993299655425,-0.11841865201955286,-0.2549228496627525,-0.2948139544753537,-0.23392775174754288,-0.17913601967221618,-0.14185617507838266,-0.1374042947354456
4,-0.17800311011196626,-0.1254743992386597,-0.29943402422454257,-0.21417374025043978,-0.2865580320633345,-0.17869745039299753,-0.18508175341904934,-0.24253760269416139
