Community,AB948,AB1235,AB1286,AB947,AB1288,AB1097,AB1239,AB1290
0,-0.2540700251690124,-0.3049514020146497,-0.3771069963099219,-0.3348942727508167,-0.5082532728075336,-0.3747546266465675,-0.556738500642377,-0.4204459513913886
1,-0.09680423413833121,0.08889299893403842,-0.17676623241669706,-0.10947568749899898,-0.11588205477675606,-0.041232573211657186,-0.00999927888814156,-0.011217926836864992
2,-0.12048830240266077,-0.07513569358177168,-0.13992996487193535,-0.16725705346313013,-0.2548125531701781,-0.1511751356344595,0.02003733021086133,-0.09761646817213343
3,-0.8130377242327937,-1.6987538725947422,-0.5244307400938035,-0.11710516973750064,-0.3425020003252405,-0.7981938396215559,-0.4142872500259445,-1.1070118326944949
4,0.16054384986946943,0.28899440716296637,-0.003659829890490851,0.2005334542287427,0.020609667345078037,0.14805297927144837,0.053950795124496555,0.11951577082769498
5,-0.8621512917850541,-0.23838273379822864,-0.5850482364141517,-0.820553434556961,-0.8894759317068426,-0.5743306188355901,-0.8435135426695852,-0.9098827809556614
6,-0.5996641413813371,-0.4358375846341332,-0.5615012451187543,-0.6072095803283241,-0.5913323438737784,-0.5515304381734104,-0.5965199804099419,-0.3812951658197347
