Community,AB977,AB1285,AB1413,AB1519,AB980,AB981,AB1409,AB1410,AB979,AB984,AB1292,AB985,AB1293,AB1517,AB1414,AB978,AB1521,AB1515,AB1416,AB1096,AB1523,AB986
0,0.6180363089584267,0.5442333856665378,0.7776530386922318,-1.6725758927915937,0.12270046293589802,0.11615295212556143,0.5559791617707901,1.33592743254118,0.22540802373227714,-0.8942628399265778,1.1308818085814765,-1.0056524414375598,-0.7672128811982185,-0.9564496055122301,0.8296296329376913,0.6465514709302465,-1.191203699158614,-1.3172568497034056,-0.13315246433041816,0.007775688241075373,0.5334059820569166,-0.9600646037302958
1,3.3193055013087993,3.718052173567551,3.241903403871715,3.4707173293331146,3.042738267726667,3.261260242266849,3.470788400012829,4.232421428815875,3.289267146436938,3.245823696993707,3.702651681099342,3.6088220965872204,3.7049080016711033,4.2159671887800645,3.4048404611205427,3.507753416652592,3.7171874454337988,3.0285318085032267,3.9453356189243407,3.471283993776186,4.219166007367449,3.566154442102759
2,2.175800535485488,0.8709920191251269,0.32798641404756124,0.9450060186416979,0.7667662940419175,1.207237489591106,2.8386636722529572,3.313961753797559,1.7819209040699466,0.9870906245996204,1.513164305096674,1.3913480966690603,1.9158577060718092,1.24327401142291,1.0923330400118785,0.9905713273664242,1.4105633510429028,0.9920046585926564,1.564596094893177,1.5791729149685831,0.49352370194368406,1.4309345766132837
3,-0.6568998789507419,-0.11100480918232251,0.28355771778492145,-0.9163828548026945,-0.5823071905727227,-0.5125828410967618,-0.5652320702164079,0.6109257648782792,0.12307618721873578,-0.7126145106027002,-0.11858366136187948,-0.8941749205001056,0.18856054284230467,-0.5738916467080275,-0.23459763535057587,0.5093602165113715,-0.6557106868521969,-0.8748705739501033,0.17522221539268795,-0.7914243124747234,-0.275932411528369,-0.5084615639192334
4,-1.2287043887208706,-0.9887211201815933,-0.6162747918317623,-1.2063697862718534,-1.313541953343926,-0.8998119870931227,-1.6220339804384671,-0.5745986073248743,-1.0065101080390038,-0.848340880066296,-0.9596190676114508,-1.2955591184395312,-0.4329500001200451,-1.1358679759424652,-0.8438552091760737,-0.6403976246778224,-1.2313823589878892,-0.8352440869985898,-1.0065993542700502,-1.5385515006035184,-0.7159594364324859,-1.0131233017260783
5,0.21828308919266948,0.20445762426134334,0.727138526980387,-0.26762831631932343,0.032059674693661694,0.12196672356584604,0.2184834125739808,1.4028001666374172,0.58581296141996,-0.006434650682435523,0.6867710327763866,0.20025241566988228,0.3509093862291049,0.6314078403637073,0.4608199907855336,0.8256410070544821,0.22627571250202616,-0.22579314630131578,0.8204312798498897,0.5505076066160851,0.6068980525316781,0.2903890861995617
6,-0.1349420175455552,0.5009429205577153,0.01391646432419158,0.4842071914082651,0.44699740577695096,0.49416601373122343,-0.3347185550798392,-0.4233101166229858,-0.32872166701257743,1.0222946987167738,0.4806095093496075,0.18251722493931322,0.5364163078695293,0.7084754474922287,0.6994466600997603,-0.08125844522553767,-0.09028227107437736,1.4579518138060104,0.7429137586622279,0.2820951470652891,0.08358794191587944,0.712969570458441
7,-0.6974531509112059,0.20867731945235488,0.18255425736658693,-0.5398862610624648,-0.8106579761346335,-0.19900625971753658,-0.7138381173196913,0.4837081848185045,-0.029742151378859775,-0.8005840289317389,0.019095886861232605,-0.7935540957575025,-0.16245187336830355,-0.13691979181610975,-0.224553414758866,0.44773832733664914,-0.521194316810678,-1.044171851716711,-0.07496676222959843,-0.8857978916738234,-0.05221829671534398,-0.3551656146544389
8,-1.2700372195830867,-0.3756679476319741,-0.7726860814739863,-0.7018370767521679,-1.0776436827707012,-0.7654052551142746,-0.7527391028669921,-0.5420842498828561,-0.882143325117782,-1.1650018309653978,-0.4391658003203739,-0.745616762035705,-1.026767376046436,-0.3186755087927319,-0.7681050335528056,-0.5038048612826393,-0.7863276910093111,-1.1698358280944408,-0.7550651657650814,-0.974143401253863,-0.794745061860841,-0.5949382991993308
9,-0.2026470133318105,-0.03528244933507102,0.7063324409851264,-0.20839635316929966,0.5037961923074602,0.4793285085736294,-0.28954902498033314,-0.09459599017256543,-0.5749346482640044,0.7359937137803141,-0.7543732431292663,0.48602842726160633,-0.1443265436286595,-0.754227349460167,-0.21022474455269743,-0.1268202332037673,0.43493545096192365,0.4602579082376905,-0.37281458038938653,0.0972300016617336,0.29506810324081034,0.29241275456258864
