module,metadata,type,stat,p,q,n_samples,n_groups,note
3,al,numeric,0.8539125638299666,0.006965288319480641,0.024378509118182245,8,,
6,al,numeric,0.8539125638299666,0.006965288319480641,0.024378509118182245,8,,
3,si,numeric,0.8539125638299666,0.006965288319480641,0.024378509118182245,8,,
6,si,numeric,0.8539125638299666,0.006965288319480641,0.024378509118182245,8,,
3,ti,numeric,0.8751723492699258,0.004418764327686459,0.030931350293805216,8,,
3,v,numeric,0.8539125638299666,0.006965288319480641,0.024378509118182245,8,,
6,v,numeric,0.8539125638299666,0.006965288319480641,0.024378509118182245,8,,
4,cr,numeric,0.9132233209773138,0.001529138242959905,0.010703967700719335,8,,
6,cr,numeric,0.8878560065057219,0.0032359806436668887,0.011325932252834112,8,,
3,mn,numeric,0.7863867486193535,0.020631016245937942,0.048139037907188535,8,,
4,mn,numeric,0.8117540630909458,0.014411077086880473,0.048139037907188535,8,,
6,mn,numeric,0.938590635448906,0.0005526162917581612,0.003868314042307128,8,,
6,fe,numeric,0.8539125638299666,0.006965288319480641,0.04875701823636449,8,,
3,co,numeric,0.8295150620062534,0.010857954728721145,0.037110645347209925,8,,
4,co,numeric,0.80511756018254,0.015904562291661397,0.037110645347209925,8,,
6,co,numeric,0.9027075674773933,0.0021376469091086937,0.014963528363760857,8,,
3,as,numeric,0.8455943246644705,0.008170171744914209,0.028595601107199733,8,,
6,as,numeric,0.8728715609439694,0.004659214943993945,0.028595601107199733,8,,
