Community,AB948,AB1235,AB1286,AB947,AB1288,AB1097,AB1239,AB1290
0,0.16054384986946943,0.28899440716296637,-0.003659829890490851,0.2005334542287427,0.020609667345078037,0.14805297927144837,0.053950795124496555,0.11951577082769498
1,-0.8155670233869601,-0.3956678165606879,-0.6028254976697937,-0.7984953976265498,-0.8438541146559712,-0.5843995115088468,-0.822841373007405,-0.8625669350726973
2,-1.0876812749581315,-1.9965821349241986,-0.785497653262773,-0.3613215578364958,-0.6021298511824988,-1.075925172978164,-0.6956728732079435,-1.3916794617697676
3,-0.08455193454388876,-0.06602508218366995,-0.12843410003330663,-0.10521100036294806,-0.18967598601707553,-0.08272922655750614,-0.12676625907374942,-0.07025872850133759
4,-0.29686148616996527,-0.1160281775945057,-0.38788193297165596,-0.31395251025193166,-0.31211320647066537,-0.23857025083116348,-0.205093459424139,-0.23003436534197147
5,-0.12048830240266077,-0.07513569358177168,-0.13992996487193535,-0.16725705346313013,-0.2548125531701781,-0.1511751356344595,0.02003733021086133,-0.09761646817213343
6,-0.5015302151351474,-0.36670972987787254,-0.512502739535275,-0.5085230034287137,-0.5229013304883203,-0.4649917505175938,-0.5012769185673835,-0.34520720824647677
