module,metadata,type,stat,p,q,n_samples,n_groups,note
0,Date,categorical,6.916666666666664,0.32862267213288116,0.4615459233051794,8,7.0,
1,Date,categorical,5.666666666666664,0.4615459233051794,0.4615459233051794,8,7.0,
2,Date,categorical,6.666666666666664,0.3527761564339405,0.4615459233051794,8,7.0,
3,Date,categorical,6.916666666666664,0.32862267213288116,0.4615459233051794,8,7.0,
4,Date,categorical,6.666666666666664,0.3527761564339405,0.4615459233051794,8,7.0,
5,Date,categorical,6.25,0.3957756599045996,0.4615459233051794,8,7.0,
6,Date,categorical,6.916666666666664,0.32862267213288116,0.4615459233051794,8,7.0,
0,Day,categorical,2.25,0.3246524673583498,0.5681418178771122,8,3.0,
1,Day,categorical,0.55555555555555,0.7574651283969686,0.7574651283969686,8,3.0,
2,Day,categorical,1.0,0.6065306597126334,0.7076191029980724,8,3.0,
3,Day,categorical,3.1388888888888857,0.20816079512557017,0.5681418178771122,8,3.0,
4,Day,categorical,2.694444444444443,0.259961373563059,0.5681418178771122,8,3.0,
5,Day,categorical,1.3611111111111072,0.5063356166481016,0.7076191029980724,8,3.0,
6,Day,categorical,4.55555555555555,0.10251175769346092,0.5681418178771122,8,3.0,
0,concentration_pm2_5,numeric,0.2515015150017844,0.5479426035598269,0.6392663708197981,8,,
1,concentration_pm2_5,numeric,0.19162020190612142,0.6494102011224532,0.6494102011224532,8,,
2,concentration_pm2_5,numeric,-0.3592878785739777,0.3820646773649864,0.6392663708197981,8,,
3,concentration_pm2_5,numeric,0.6347419188140272,0.09089043638915882,0.2724249361352581,8,,
4,concentration_pm2_5,numeric,0.5988131309566295,0.11675354405796776,0.2724249361352581,8,,
5,concentration_pm2_5,numeric,0.27545404024004955,0.5090540726550732,0.6392663708197981,8,,
6,concentration_pm2_5,numeric,0.7784570702436182,0.022867333969736846,0.16007133778815794,8,,
0,be,numeric,0.06234796863885497,0.8834001596750212,0.8834001596750212,8,,
1,be,numeric,-0.15586992159713742,0.7124430540586771,0.8834001596750212,8,,
2,be,numeric,0.5923057020691221,0.12183451362769832,0.8528415953938883,8,,
3,be,numeric,-0.2649788667151336,0.5259312138221715,0.8834001596750212,8,,
4,be,numeric,0.07793496079856871,0.8544625776862839,0.8834001596750212,8,,
5,be,numeric,0.21821789023599242,0.6036450565101361,0.8834001596750212,8,,
6,be,numeric,-0.09352195295828246,0.8256661256676389,0.8834001596750212,8,,
0,na,numeric,-0.4469582637089474,0.2668761889883185,0.8903399549052461,8,,
1,na,numeric,-0.12770236105969923,0.7631485327759252,0.8903399549052461,8,,
2,na,numeric,-0.12770236105969923,0.7631485327759252,0.8903399549052461,8,,
3,na,numeric,0.038310708317909774,0.928237677235886,0.928237677235886,8,,
4,na,numeric,-0.14047259716566915,0.7400582224779702,0.8903399549052461,8,,
5,na,numeric,-0.3447963748611879,0.40291804849264123,0.8903399549052461,8,,
6,na,numeric,0.1532428332716391,0.7171363188097608,0.8903399549052461,8,,
0,mg,numeric,-0.4469582637089474,0.2668761889883185,0.8903399549052461,8,,
1,mg,numeric,-0.12770236105969923,0.7631485327759252,0.8903399549052461,8,,
2,mg,numeric,-0.12770236105969923,0.7631485327759252,0.8903399549052461,8,,
3,mg,numeric,0.038310708317909774,0.928237677235886,0.928237677235886,8,,
4,mg,numeric,-0.14047259716566915,0.7400582224779702,0.8903399549052461,8,,
5,mg,numeric,-0.3447963748611879,0.40291804849264123,0.8903399549052461,8,,
6,mg,numeric,0.1532428332716391,0.7171363188097608,0.8903399549052461,8,,
0,al,numeric,0.6099375455928333,0.1083500627686081,0.1896126098450642,8,,
1,al,numeric,0.29277002188455997,0.48161781431215467,0.48161781431215467,8,,
2,al,numeric,-0.5367450401216933,0.17018920126883436,0.2382648817763681,8,,
3,al,numeric,0.8539125638299666,0.006965288319480641,0.024378509118182245,8,,
4,al,numeric,0.6831300510639733,0.06183472987214336,0.14428103636833453,8,,
5,al,numeric,0.3903600291794133,0.3390301832455655,0.3955352137864931,8,,
6,al,numeric,0.8539125638299666,0.006965288319480641,0.024378509118182245,8,,
0,si,numeric,0.6099375455928333,0.1083500627686081,0.1896126098450642,8,,
1,si,numeric,0.29277002188455997,0.48161781431215467,0.48161781431215467,8,,
